mp-id;formula;structure_type;cations;valences;CNs;Connections of Cations with Valences
mp-19161;Ca2CoWO6;mp-6457;['Ca', 'Ca', 'Ca', 'Ca', 'Co', 'Co', 'W', 'W'];[2, 2, 2, 2, 2, 2, 6, 6];['8', '8', '8', '8', '6', '6', '6', '6'];{'Ca': {2: {'no': 184, 'corner': 32, 'edge': 32, 'face': 8}}, 'Co': {2: {'no': 100, 'corner': 16, 'edge': 8, 'face': 4}}, 'W': {6: {'no': 100, 'corner': 16, 'edge': 8, 'face': 4}}}
mp-3858;NaTaO3;mp-6457;['Na', 'Na', 'Na', 'Na', 'Ta', 'Ta', 'Ta', 'Ta'];[1, 1, 1, 1, 5, 5, 5, 5];['12', '12', '12', '12', '6', '6', '6', '6'];{'Na': {1: {'no': 152, 'corner': 48, 'edge': 0, 'face': 56}}, 'Ta': {5: {'no': 200, 'corner': 24, 'edge': 0, 'face': 32}}}
mp-12878;Sr2YSbO6;mp-6457;['Sr', 'Sr', 'Sr', 'Sr', 'Y', 'Y', 'Sb', 'Sb'];[2, 2, 2, 2, 3, 3, 5, 5];['12', '12', '12', '12', '6', '6', '6', '6'];{'Sr': {2: {'no': 128, 'corner': 48, 'edge': 0, 'face': 56}}, 'Y': {3: {'no': 88, 'corner': 12, 'edge': 0, 'face': 16}}, 'Sb': {5: {'no': 88, 'corner': 12, 'edge': 0, 'face': 16}}}
mp-24956;ErFeO3;mp-6457;['Fe', 'Fe', 'Fe', 'Fe', 'Er', 'Er', 'Er', 'Er'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9'];{'Fe': {3: {'no': 200, 'corner': 32, 'edge': 8, 'face': 16}}, 'Er': {3: {'no': 176, 'corner': 40, 'edge': 16, 'face': 24}}}
mp-3378;SrHfO3;mp-6457;['Sr', 'Sr', 'Sr', 'Sr', 'Hf', 'Hf', 'Hf', 'Hf'];[2, 2, 2, 2, 4, 4, 4, 4];['12', '12', '12', '12', '6', '6', '6', '6'];{'Sr': {2: {'no': 128, 'corner': 48, 'edge': 0, 'face': 56}}, 'Hf': {4: {'no': 176, 'corner': 24, 'edge': 0, 'face': 32}}}
mp-5163;LaRhO3;mp-6457;['Rh', 'Rh', 'Rh', 'Rh', 'La', 'La', 'La', 'La'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9'];{'Rh': {3: {'no': 184, 'corner': 32, 'edge': 8, 'face': 16}}, 'La': {3: {'no': 160, 'corner': 40, 'edge': 16, 'face': 24}}}
mp-32341;EuNiO3;mp-6457;['Ni', 'Ni', 'Ni', 'Ni', 'Eu', 'Eu', 'Eu', 'Eu'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '12', '12', '12', '12'];{'Ni': {3: {'no': 200, 'corner': 24, 'edge': 0, 'face': 32}}, 'Eu': {3: {'no': 152, 'corner': 48, 'edge': 0, 'face': 56}}}
mp-24878;YCoO3;mp-6457;['Co', 'Co', 'Co', 'Co', 'Y', 'Y', 'Y', 'Y'];[3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9'];{'Co': {3: {'no': 224, 'corner': 32, 'edge': 8, 'face': 16}}, 'Y': {3: {'no': 208, 'corner': 40, 'edge': 16, 'face': 24}}}
mp-19192;Y2MnNiO6;mp-6457;['Mn', 'Mn', 'Ni', 'Ni', 'Y', 'Y', 'Y', 'Y'];[4, 4, 2, 2, 3, 3, 3, 3];['6', '6', '6', '6', '9', '9', '9', '9'];{'Mn': {4: {'no': 100, 'corner': 16, 'edge': 4, 'face': 8}}, 'Ni': {2: {'no': 100, 'corner': 16, 'edge': 4, 'face': 8}}, 'Y': {3: {'no': 184, 'corner': 40, 'edge': 16, 'face': 24}}}
mp-972600;UCd(PbO3)2;mp-6457;['U', 'U', 'Cd', 'Cd', 'Pb', 'Pb', 'Pb', 'Pb'];[6, 6, 2, 2, 2, 2, 2, 2];['6', '6', '6', '6', '11', '11', '11', '11'];{'U': {6: {'no': 88, 'corner': 12, 'edge': 4, 'face': 12}}, 'Cd': {2: {'no': 88, 'corner': 12, 'edge': 4, 'face': 12}}, 'Pb': {2: {'no': 136, 'corner': 40, 'edge': 12, 'face': 44}}}
