mp-id;formula;structure_type;cations;valences;CNs;Bond valence sum
mp-12641;Ba2HoNbO6;mp-2920;['Nb', 'Ba', 'Ba', 'Ho'];[5, 2, 2, 3];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-19051;LaCoO3;mp-2920;['Co', 'Co', 'La', 'La'];[3, 3, 3, 3];['6', '6', '12', '12'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-22734;HfPbO3;mp-2920;['Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Hf', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb'];[4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2];['6', '6', '6', '6', '6', '6', '6', '6', '12', '12', '12', '12', '12', '12', '12', '12'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-554620;Sr2FeReO6;mp-2920;['Sr', 'Sr', 'Re', 'Fe'];[2, 2, 5, 3];['12', '12', '6', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-6145;Ba2LuRuO6;mp-2920;['Ru', 'Ba', 'Ba', 'Lu'];[5, 2, 2, 3];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-6270;Ba2LiReO6;mp-2920;['Li', 'Ba', 'Ba', 'Re'];[1, 2, 2, 7];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-12642;Ba2TmNbO6;mp-2920;['Nb', 'Ba', 'Ba', 'Tm'];[5, 2, 2, 3];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-3408;CeAlO3;mp-2920;['Al', 'Al', 'Ce', 'Ce'];[3, 3, 3, 3];['6', '6', '12', '12'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-19119;Sr2NiOsO6;mp-2920;['Ni', 'Sr', 'Sr', 'Os'];[2, 2, 2, 6];['6', '12', '12', '6'];[2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
mp-865526;TmSb(PbO3)2;mp-2920;['Tm', 'Tm', 'Sb', 'Sb', 'Pb', 'Pb', 'Pb', 'Pb'];[3, 3, 5, 5, 2, 2, 2, 2];['6', '6', '6', '6', '12', '12', '12', '12'];[2.0000000000000004, 2.0000000000000004, 2.0000000000000004, 2.0000000000000004, 2.0000000000000004, 2.0000000000000004, 2.0000000000000004, 2.0000000000000004, 2.0000000000000004, 2.0000000000000004, 2.0000000000000004, 2.0000000000000004]
