mp-id;formula;structure_type;cations;valences;CNs;Connections of Cations with Valences
mp-756670;Eu2Pb2O7;mp-17113;['Eu', 'Eu', 'Eu', 'Eu', 'Pb', 'Pb', 'Pb', 'Pb'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Eu': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Pb': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-642754;Gd2Mo2O7;mp-17113;['Gd', 'Gd', 'Gd', 'Gd', 'Mo', 'Mo', 'Mo', 'Mo'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Gd': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Mo': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-642787;Y2V2O7;mp-17113;['Y', 'Y', 'Y', 'Y', 'V', 'V', 'V', 'V'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Y': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'V': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-558392;Bi2Ir2O7;mp-17113;['Bi', 'Bi', 'Bi', 'Bi', 'Ir', 'Ir', 'Ir', 'Ir'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Bi': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Ir': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-20643;Y2Ru2O7;mp-17113;['Y', 'Y', 'Y', 'Y', 'Ru', 'Ru', 'Ru', 'Ru'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Y': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Ru': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-560329;Ce2Zr2O7;mp-17113;['Ce', 'Ce', 'Ce', 'Ce', 'Zr', 'Zr', 'Zr', 'Zr'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Ce': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Zr': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-4086;La2Sn2O7;mp-17113;['Sn', 'Sn', 'Sn', 'Sn', 'La', 'La', 'La', 'La'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Sn': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'La': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-559426;Pr2Zr2O7;mp-17113;['Pr', 'Pr', 'Pr', 'Pr', 'Zr', 'Zr', 'Zr', 'Zr'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Pr': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Zr': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-4991;Tb2Sn2O7;mp-17113;['Sn', 'Sn', 'Sn', 'Sn', 'Tb', 'Tb', 'Tb', 'Tb'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Sn': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Tb': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-505216;Gd2Ru2O7;mp-17113;['Gd', 'Gd', 'Gd', 'Gd', 'Ru', 'Ru', 'Ru', 'Ru'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Gd': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}, 'Ru': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-642823;Dy2V2O7;mp-17113;['Dy', 'Dy', 'Dy', 'Dy', 'V', 'V', 'V', 'V'];[3, 3, 3, 3, 4, 4, 4, 4];['8', '8', '8', '8', '6', '6', '6', '6'];{'Dy': {3: {'no': 264, 'corner': 0, 'edge': 48, 'face': 0}}, 'V': {4: {'no': 264, 'corner': 24, 'edge': 24, 'face': 0}}}
mp-22094;Tl2Ru2O7;mp-17113;['Ru', 'Ru', 'Ru', 'Ru', 'Tl', 'Tl', 'Tl', 'Tl'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ru': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Tl': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-505552;Cd2Ru2O7;mp-17113;['Ru', 'Ru', 'Ru', 'Ru', 'Cd', 'Cd', 'Cd', 'Cd'];[5, 5, 5, 5, 2, 2, 2, 2];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ru': {5: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Cd': {2: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-3884;Ho2Sn2O7;mp-17113;['Sn', 'Sn', 'Sn', 'Sn', 'Ho', 'Ho', 'Ho', 'Ho'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Sn': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Ho': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-20845;Dy2Sn2O7;mp-17113;['Sn', 'Sn', 'Sn', 'Sn', 'Dy', 'Dy', 'Dy', 'Dy'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Sn': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Dy': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-14968;Dy2Ru2O7;mp-17113;['Ru', 'Ru', 'Ru', 'Ru', 'Dy', 'Dy', 'Dy', 'Dy'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Ru': {4: {'no': 168, 'corner': 24, 'edge': 24, 'face': 0}}, 'Dy': {3: {'no': 168, 'corner': 0, 'edge': 48, 'face': 0}}}
mp-19153;Lu2Mn2O7;mp-17113;['Mn', 'Mn', 'Mn', 'Mn', 'Lu', 'Lu', 'Lu', 'Lu'];[4, 4, 4, 4, 3, 3, 3, 3];['6', '6', '6', '6', '8', '8', '8', '8'];{'Mn': {4: {'no': 264, 'corner': 24, 'edge': 24, 'face': 0}}, 'Lu': {3: {'no': 264, 'corner': 0, 'edge': 48, 'face': 0}}}
